Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,SubjectTest,isNotEqualToFailureWithObjects,10,1,0,422,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToFailureWithSameObject,11,1,0,433,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToWithComparableObjects,5,1,0,445,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToFailureWithComparableObjects,11,1,0,452,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToWithDifferentTypesAndSameToString,5,1,0,464,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isInstanceOf,3,1,0,471,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isInstanceOfFail,9,1,0,476,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotInstanceOf,3,1,0,489,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotInstanceOfFail,9,1,0,494,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isIn,3,1,0,504,1,,
truth,com.google.common.truth,SubjectTest,isInJustTwo,3,1,0,509,1,,
truth,com.google.common.truth,SubjectTest,isInFailure,9,1,0,514,1,,
truth,com.google.common.truth,SubjectTest,isInNullInListWithNull,3,1,0,524,1,,
truth,com.google.common.truth,SubjectTest,isInNonnullInListWithNull,3,1,0,529,1,,
truth,com.google.common.truth,SubjectTest,isInNullFailure,9,1,0,534,1,,
truth,com.google.common.truth,SubjectTest,isInEmptyFailure,9,1,0,544,1,,
truth,com.google.common.truth,SubjectTest,isAnyOf,3,1,0,554,1,,
truth,com.google.common.truth,SubjectTest,isAnyOfJustTwo,3,1,0,559,1,,
truth,com.google.common.truth,SubjectTest,isAnyOfFailure,9,1,0,564,1,,
truth,com.google.common.truth,SubjectTest,isAnyOfNullInListWithNull,3,1,0,574,1,,
truth,com.google.common.truth,SubjectTest,isAnyOfNonnullInListWithNull,3,1,0,579,1,,
truth,com.google.common.truth,SubjectTest,isAnyOfNullFailure,9,1,0,584,1,,
truth,com.google.common.truth,SubjectTest,isNotIn,3,1,0,594,1,,
truth,com.google.common.truth,SubjectTest,isNotInFailure,9,1,0,599,1,,
truth,com.google.common.truth,SubjectTest,isNotInNull,3,1,0,610,1,,
truth,com.google.common.truth,SubjectTest,isNotInNullFailure,9,1,0,615,1,,
truth,com.google.common.truth,SubjectTest,isNotInEmpty,3,1,0,626,1,,
truth,com.google.common.truth,SubjectTest,isNoneOf,3,1,0,631,1,,
truth,com.google.common.truth,SubjectTest,isNoneOfFailure,9,1,0,636,1,,
truth,com.google.common.truth,SubjectTest,isNoneOfNull,3,1,0,647,1,,
truth,com.google.common.truth,SubjectTest,isNoneOfNullFailure,9,1,0,652,1,,
truth,com.google.common.truth,SubjectTest,throwableHasInitedCause,11,1,0,663,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,equalsThrowsUSOE,10,1,0,675,1,com.google.common.truth.Subject,com.google.common.truth.Subject
