Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesFormatDiffExceptions,Magic Number,The method contains a magic number: 35,1244
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesFormatDiffExceptions,Magic Number,The method contains a magic number: 60,1244
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_expectedKeyHasWrongValue,Long Statement,The length of the statement "assertFailureKeys("for key"`"expected value"`"testing whether"`"but got value"`"full map"`"additionally` one or more exceptions were thrown while comparing values"`"first exception");" is 183.,1270
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_expectedKeyHasWrongValue,Magic Number,The method contains a magic number: 2,1270
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_expectedKeyHasWrongValue,Magic Number,The method contains a magic number: 2,1270
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_wrongKeyHasExpectedValue,Long Statement,The length of the statement "assertFailureKeys("for key"`"expected value"`"testing whether"`"but was missing"`"other keys with matching values"`"full map"`"additionally` one or more exceptions were thrown while comparing values"`"first exception");" is 219.,1293
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_wrongKeyHasExpectedValue,Long Statement,The length of the statement "assertThatFailure().factValue("first exception").startsWith("compare(null` THREE) threw java.lang.NullPointerException");" is 121.,1293
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_wrongKeyHasExpectedValue,Magic Number,The method contains a magic number: 2,1293
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_wrongKeyHasExpectedValue,Magic Number,The method contains a magic number: 3,1293
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_successExcludedKeyHasWrongValues,Magic Number,The method contains a magic number: 123,1319
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_successWrongKeyHasExcludedValue,Magic Number,The method contains a magic number: 456,1327
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_successMissingExcludedKeyAndValue,Magic Number,The method contains a magic number: 321,1335
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_failure,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).doesNotContainEntry("def"`456);" is 130.,1343
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_failure,Magic Number,The method contains a magic number: 456,1343
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_handlesException,Long Statement,The length of the statement "assertFailureKeys("one or more exceptions were thrown while comparing values"`"first exception"`"expected not to contain"`"testing whether"`"found no match (but failing because of exception)"`"full map");" is 204.,1355
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_handlesException,Magic Number,The method contains a magic number: 2,1355
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_handlesException,Magic Number,The method contains a magic number: 2,1355
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_success,Magic Number,The method contains a magic number: 456,1377
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_success,Magic Number,The method contains a magic number: 123,1377
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_success,Long Statement,The length of the statement "assertThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsExactly("abc"`123`"def"`456).inOrder();" is 128.,1385
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_success,Magic Number,The method contains a magic number: 123,1385
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_success,Magic Number,The method contains a magic number: 456,1385
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsExtraEntry,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsExactly("def"`456);" is 126.,1394
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsExtraEntry,Magic Number,The method contains a magic number: 456,1394
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsMissingEntry,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsExactly("def"`456`"xyz"`999`"abc"`123);" is 146.,1415
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsMissingEntry,Magic Number,The method contains a magic number: 456,1415
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsMissingEntry,Magic Number,The method contains a magic number: 999,1415
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsMissingEntry,Magic Number,The method contains a magic number: 123,1415
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongKey,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsExactly("def"`456`"cab"`123);" is 136.,1433
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongKey,Long Statement,The length of the statement "assertFailureKeys("missing keys"`"for key"`"expected value"`"unexpected keys"`"for key"`"unexpected value"`"---"`"expected"`"testing whether"`"but was");" is 153.,1433
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongKey,Magic Number,The method contains a magic number: 456,1433
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongKey,Magic Number,The method contains a magic number: 123,1433
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongValue,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsExactly("def"`456`"abc"`321);" is 136.,1456
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongValue,Long Statement,The length of the statement "assertFailureKeys("keys with wrong values"`"for key"`"expected value"`"but got value"`"---"`"expected"`"testing whether"`"but was");" is 132.,1456
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongValue,Magic Number,The method contains a magic number: 456,1456
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongValue,Magic Number,The method contains a magic number: 321,1456
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_handlesExceptions,Long Statement,The length of the statement "assertFailureKeys("keys with wrong values"`"for key"`"expected value"`"but got value"`"---"`"expected"`"testing whether"`"but was"`"additionally` one or more exceptions were thrown while comparing values"`"first exception");" is 224.,1476
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_handlesExceptions,Magic Number,The method contains a magic number: 2,1476
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_handlesExceptions,Magic Number,The method contains a magic number: 2,1476
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_failsOutOfOrder,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsExactly("def"`456`"abc"`123).inOrder();" is 146.,1500
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_failsOutOfOrder,Magic Number,The method contains a magic number: 456,1500
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_failsOutOfOrder,Magic Number,The method contains a magic number: 123,1500
